time,value,timestamp,range,voltage,direction,sequence
10.335534811019897,10824740.0,2025-11-07 15:32:06.237608,2000000.0,50,#2,1
11.032136917114258,10824590.0,2025-11-07 15:32:06.928914,2000000.0,50,#2,1
11.701070785522461,10824940.0,2025-11-07 15:32:07.603916,2000000.0,50,#2,1
12.376479864120483,10824810.0,2025-11-07 15:32:08.277412,2000000.0,50,#2,1
13.071958780288696,10824810.0,2025-11-07 15:32:08.970048,2000000.0,50,#2,1
13.74001169204712,10824430.0,2025-11-07 15:32:09.640240,2000000.0,50,#2,1
14.411294937133789,10824430.0,2025-11-07 15:32:10.309367,2000000.0,50,#2,1
15.10168981552124,10824380.0,2025-11-07 15:32:11.001413,2000000.0,50,#2,1
15.774103879928589,10824380.0,2025-11-07 15:32:11.625299,,50,#2,1
21.344094038009644,10824980.0,2025-11-07 15:32:17.250234,2000000.0,50,#2,1
22.021113872528076,10824380.0,2025-11-07 15:32:17.924477,2000000.0,50,#2,1
22.71964979171753,10824920.0,2025-11-07 15:32:18.616336,2000000.0,50,#2,1
23.387934923171997,10824370.0,2025-11-07 15:32:19.290550,2000000.0,50,#2,1
24.062177658081055,10824020.0,2025-11-07 15:32:19.973262,2000000.0,50,#2,1
24.743984937667847,10824020.0,2025-11-07 15:32:20.642509,2000000.0,50,#2,1
25.412815809249878,10824200.0,2025-11-07 15:32:21.351285,2000000.0,50,#2,1
26.14485788345337,10824420.0,2025-11-07 15:32:22.044151,2000000.0,50,#2,1
26.815305948257446,10824420.0,2025-11-07 15:32:22.718517,2000000.0,50,#2,1
27.487791776657104,10824600.0,2025-11-07 15:32:23.401036,2000000.0,50,#2,1
28.173524856567383,10824600.0,2025-11-07 15:32:24.070314,2000000.0,50,#2,1
28.840697765350342,10824570.0,2025-11-07 15:32:24.781627,2000000.0,50,#2,1
29.574049711227417,10824470.0,2025-11-07 15:32:25.473303,2000000.0,50,#2,1
30.24471688270569,10824470.0,2025-11-07 15:32:26.143410,2000000.0,50,#2,1
30.91619300842285,10824280.0,2025-11-07 15:32:26.812046,2000000.0,50,#2,1
31.607077836990356,10824280.0,2025-11-07 15:32:27.504722,2000000.0,50,#2,1
32.274595737457275,10824400.0,2025-11-07 15:32:28.207565,2000000.0,50,#2,1
32.99991297721863,10824530.0,2025-11-07 15:32:28.901170,2000000.0,50,#2,1
33.67009997367859,10824560.0,2025-11-07 15:32:29.614816,2000000.0,50,#2,1
34.38574290275574,10824560.0,2025-11-07 15:32:30.285636,2000000.0,50,#2,1
35.05648183822632,10824500.0,2025-11-07 15:32:30.955061,2000000.0,50,#2,1
35.724339962005615,10824500.0,2025-11-07 15:32:31.567865,,50,#2,1
41.28927493095398,10824500.0,2025-11-07 15:32:37.185833,2000000.0,50,#2,1
41.95481491088867,10824500.0,2025-11-07 15:32:37.855971,2000000.0,50,#2,1
42.64784789085388,10824460.0,2025-11-07 15:32:38.548027,2000000.0,50,#2,1
43.32084679603577,10824460.0,2025-11-07 15:32:39.218152,2000000.0,50,#2,1
43.98675894737244,10824160.0,2025-11-07 15:32:39.889047,2000000.0,50,#2,1
44.684157848358154,10824160.0,2025-11-07 15:32:40.581795,2000000.0,50,#2,1
45.351725816726685,10824160.0,2025-11-07 15:32:41.252093,2000000.0,50,#2,1
46.024292945861816,10824610.0,2025-11-07 15:32:41.935421,2000000.0,50,#2,1
46.70644187927246,10824610.0,2025-11-07 15:32:42.604659,2000000.0,50,#2,1
47.37615180015564,10824610.0,2025-11-07 15:32:43.318259,2000000.0,50,#2,1
48.090680837631226,10824510.0,2025-11-07 15:32:43.988382,2000000.0,50,#2,1
48.75984787940979,10824670.0,2025-11-07 15:32:44.659386,2000000.0,50,#2,1
49.42945098876953,10824670.0,2025-11-07 15:32:45.328544,2000000.0,50,#2,1
50.12254786491394,10824670.0,2025-11-07 15:32:46.021340,2000000.0,50,#2,1
